RepRapFirmware height map file v2 generated at 2021-04-26 08:49, min error -0.042, max error 0.226, mean 0.106, deviation 0.072
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,290.00,20.00,180.00,-1.00,40.00,40.00,8,5
  0.191,  0.184,  0.136,  0.056,  0.022, -0.013, -0.024, -0.042
  0.226,  0.186,  0.151,  0.089,  0.024,  0.006,  0.007,  0.027
  0.139,  0.160,  0.141,  0.072,  0.043,  0.049,  0.036,  0.043
  0.179,  0.181,  0.158,  0.119,  0.089,  0.084,  0.088,  0.105
  0.161,  0.217,  0.222,  0.145,  0.128,  0.134,  0.159,  0.138
