RepRapFirmware height map file v2 generated at 2021-01-23 15:34, min error -0.079, max error 0.218, mean 0.076, deviation 0.080
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,290.00,20.00,180.00,-1.00,40.00,40.00,8,5
 -0.026,  0.028,  0.046, -0.022, -0.043, -0.051, -0.049, -0.079
  0.050,  0.063,  0.066,  0.017,  0.026,  0.025,  0.013,  0.000
  0.007,  0.074,  0.080,  0.029,  0.031,  0.069,  0.076,  0.055
  0.109,  0.149,  0.159,  0.105,  0.099,  0.136,  0.141,  0.143
  0.119,  0.188,  0.214,  0.159,  0.186,  0.218,  0.212,  0.204
